gender,ethnic,age_group,bmi_group,mean,sd,n_subjects
1,4,2,5,162.7216,10.48682,0
1,4,2,6,162.7216,10.48682,0
1,4,2,7,162.7216,10.48682,0
1,4,2,8,162.7216,10.48682,0
1,4,3,1,162.7216,10.48682,1
1,4,3,2,162.7216,10.48682,0
1,4,3,3,162.7216,10.48682,1
1,4,3,4,162.7216,10.48682,0
1,4,3,5,162.7216,10.48682,3
1,4,3,6,162.7216,10.48682,0
1,4,3,7,162.7216,10.48682,1
1,4,3,8,162.7216,10.48682,0
1,4,4,1,162.7216,10.48682,0
1,4,4,2,162.7216,10.48682,0
1,4,4,3,162.7216,10.48682,1
1,4,4,4,162.7216,10.48682,1
1,4,4,5,162.7216,10.48682,0
1,4,4,6,162.7216,10.48682,0
1,4,4,7,162.7216,10.48682,1
1,4,4,8,162.7216,10.48682,1
1,4,5,1,162.7216,10.48682,0
1,4,5,2,162.7216,10.48682,1
1,4,5,3,162.7216,10.48682,0
1,4,5,4,162.7216,10.48682,1
1,4,5,5,162.7216,10.48682,0
1,4,5,6,162.7216,10.48682,0
1,4,5,7,162.7216,10.48682,0
1,4,5,8,162.7216,10.48682,0
1,4,6,1,162.7216,10.48682,0
1,4,6,2,162.7216,10.48682,0
1,4,6,3,162.7216,10.48682,0
1,4,6,4,162.7216,10.48682,0
1,4,6,5,162.7216,10.48682,1
1,4,6,6,162.7216,10.48682,0
1,4,6,7,162.7216,10.48682,0
1,4,6,8,162.7216,10.48682,0
2,1,1,1,160.6,5.264,149
2,1,1,2,159.5,5.907,72
2,1,1,3,161.9,4.982,26
2,1,1,4,161,5.222,20
2,1,1,5,160.5,8.836,9
2,1,1,6,162,,1
2,1,1,7,162,2.828,2
2,1,1,8,166.5,3.536,2
2,1,2,1,160.3,6.078,187
2,1,2,2,160.2,5.416,165
2,1,2,3,159.5,5.781,94
2,1,2,4,158.1,6.165,35
2,1,2,5,160.3,6.328,30
2,1,2,6,159.4,5.553,14
2,1,2,7,160.4,6.951,12
2,1,2,8,157.4,3.715,5
2,1,3,1,158.6,5.58,224
2,1,3,2,158.4,5.187,260
2,1,3,3,157.9,5.368,194
2,1,3,4,157.8,5.975,107
2,1,3,5,158.1,4.995,51
2,1,3,6,157.2,4.735,10
2,1,3,7,156,2.416,7
2,1,3,8,156.6,2.01,6
2,1,4,1,157.3,5.614,138
2,1,4,2,157.3,5.384,198
2,1,4,3,157.6,6.056,176
2,1,4,4,156.9,5.022,109
